Fk_Id_Subdireciones;Clave;Nombre
1;GER;GERENCIA DE ESTUDIOS REGIONALES
1;GEP;GERENCIA DE EVALUACION DE PROSPECTOS
1;GCY;GERENCIA DE CARACTERIZACION DE YACIMIENTOS
1;GDG;GERENCIA DE GEOFISICA
1;GPEE;GERENCIA DE PROGRAMACION Y EVALUACION EN EXPLORACION
1;AEMN;ACTIVO DE EXPLORACION MARINA NORTE
1;AETN;ACTIVO DE EXPLORACION TERRESTRE NORTE
1;AEMS;ACTIVO DE EXPLORACION MARINA SUR
1;AETS;ACTIVO DE EXPLORACION TERRESTRE SUR
2;GGSCAEE;GERENCIA DE GESTION Y SEGUIMIENTO DE CONTRATOS Y ASOCIACIONES DE EXPLORACION Y EXTRACCION
2;GOCAE;GERENCIA DE OPERACION DE CONTRATOS Y ASOCIACIONES DE EXPLORACION
2;GOCAEN;GERENCIA DE OPERACION DE CONTRATOS Y ASOCIACIONES DE EXTRACCION NORTE
2;GOCAES;GERENCIA DE OPERACION DE CONTRATOS Y ASOCIACIONES DE EXTRACCION SUR
3;GCORMN;GERENCIA DE COORDINACION OPERATIVA REGION MARINA NORTE
3;GMCCRMN;GERENCIA DE MANTENIMIENTO CONFIABILIDAD Y CONSTRUCCION REGION MARINA NORTE
3;GPERMNO;GERENCIA DE PROGRAMACION Y EVALUACION REGION MARINA NORTE
3;AEC;ACTIVO DE EXTRACCION CANTARELL
3;AEKMZ;ACTIVO DE EXTRACCION KU-MALOOB-ZAAP
4;GCORMSO;GERENCIA DE COORDINACION OPERATIVA REGION MARINA SUROESTE
4;GCOAH;GERENCIA DE CONTROL OPERATIVO Y ACONDICIONAMIENTO DE HIDROCARBUROS
4;GMCCRMSO;GERENCIA DE MANTENIMIENTO CONFIABILIDAD Y CONSTRUCCION REGION MARINA SUROESTE
4;GPERMSO;GERENCIA DE PROGRAMACION Y EVALUACION REGION MARINA SUROESTE
4;AEAPC;ACTIVO DE EXTRACCION ABKATUN-POL-CHUC
4;AELT;ACTIVO DE EXTRACCION LITORAL DE TABASCO
5;GCORS;GERENCIA DE COORDINACION OPERATIVA REGION SUR
5;GMCCRS;GERENCIA DE MANTENIMIENTO CONFIABILIDAD Y CONSTRUCCION REGION SUR
5;GPERS;GERENCIA DE PROGRAMACION Y EVALUACION REGION SUR
5;AEMM;ACTIVO DE EXTRACCION MACUSPANA-MUSPAC
5;AESL;ACTIVO DE EXTRACCION SAMARIA-LUNA
5;AEBJ;ACTIVO DE EXTRACCION BELLOTA-JUJO
5;AECP;ACTIVO DE EXTRACCION CINCO PRESIDENTES
6;GCORN;GERENCIA DE COORDINACION OPERATIVA REGION NORTE
6;GMCCRN;GERENCIA DE MANTENIMIENTO CONFIABILIDAD Y CONSTRUCCION REGION NORTE
6;GPERN;GERENCIA DE PROGRAMACION Y EVALUACION REGION NORTE
6;AER;ACTIVO DE EXTRACCION REYNOSA
6;AEPRA;ACTIVO DE EXTRACCION POZA RICA-ALTAMIRA
6;AEV;ACTIVO DE EXTRACCION VERACRUZ
7;GPE;GERENCIA DE PROGRAMACION Y EVALUACION
7;GMEICM;GERENCIA DE MANTENIMIENTO ESTATICO E INFRAESTRUCTURA COMPLEMENTARIA MARINA
7;GSLM;GERENCIA DE SERVICIOS DE LOGISTICA MARINA
7;GMSEICT;GERENCIA DE MANTENIMIENTO ESTATICO E INFRAESTRUCTURA COMPLEMENTARIA TERRESTRE
7;GSLT;GERENCIA DE SERVICIOS DE LOGISTICA TERRESTRE
8;GPE;GERENCIA DE PLANES DE EXTRACCION
8;GRAH;GERENCIA DE RECUPERACION AVANZADA DE HIDROCARBUROS
8;GIIPEXPLO;GERENCIA DE INGENIERIA DE INTERVENCIONES A POZOS DE EXPLORACION
8;GIIPEXTRAC;GERENCIA DE INGENIERIA DE INTERVENCIONES A POZOS DE EXTRACCION
8;GATEE;GERENCIA DE ASEGURAMIENTO TECNICO DE EXPLORACION Y EXTRACCION
8;GRRH;GERENCIA DE RECURSOS Y RESERVAS DE HIDROCARBUROS
9;GIOEYE;GERENCIA DE INTEGRACION Y OPTIMIZACION DE EXPLORACION Y EXTRACCION
9;GPEO;GERENCIA DE PROGRAMACION Y EVALUACION OPERATIVA
9;GSMCC;GERENCIA DE SEGUIMIENTO Y MEJORA CONTINUA DE COSTOS
9;GCOTEE;GERENCIA DE CUMPLIMIENTO DE OBLIGACIONES TECNICAS PARA LA EXPLORACION Y EXTRACCION
10;GSPSSTPA;GERENCIA DEL SISTEMA PEMEX SEGURIDAD SALUD EN EL TRABAJO Y PROTECCION AMBIENTAL
